place_id,platform_name,hashtag,category,place_name,address,latitude,longitude,phone,menu1,price1,menu2,price2,description,price1_num,price2_num
P000001,착한가격업소,,식당,돈까스보라,서울특별시 종로구 대학로5길 5 (연건동),37.5781982996716,127.001695852612,02-741-3455,수제 돈까스,7000원,돈까스 정식,8000원,가성비 수제 돈까스,7000,8000.0
P000002,착한가격업소,,식당,삼삼 뚝배기,서울특별시 종로구 동숭길 51 (동숭동),37.5805564090189,127.004190744723,02-765-4683,된장뚝배기,7000원,김치찌개,7000원,가성비 된장뚝배기,7000,7000.0
P000003,착한가격업소,,카페,약속커피숍,서울특별시 종로구 종로 302 (창신동),37.5716332944196,127.01140072111,02-764-1100,맥심커피,2000원,녹차,2000원,가성비 맥심커피,2000,2000.0
P000004,착한가격업소,,미용,영미용실,서울특별시 종로구 지봉로 62 (숭인동),37.5755618391963,127.015850681862,02-743-6052,커트,8000원,파마,20000원,가성비 커트,8000,20000.0
P000005,착한가격업소,,카페,왕관커피숍,서울특별시 종로구 종로 222 (종로5가),37.570760396587,127.002357657235,02-2266-8365,커피,2000원,국산차,2000원,가성비 커피,2000,2000.0
P000006,착한가격업소,,미용,은미용실,서울특별시 종로구 사직로 108-6 (내자동),37.5757821511679,126.970611077009,02-738-1882,커트,5000원,파마,25000원,가성비 커트,5000,25000.0
P000007,착한가격업소,,미용,이레이발관,서울특별시 종로구 수표로 115 (낙원동),37.5715425171338,126.989053894726,,커트,7000원,염색,8000원,가성비 커트,7000,8000.0
P000008,착한가격업소,,미용,이소빈 머리나라,서울특별시 종로구 명륜길 9 (명륜3가),37.5879678107949,126.996150319087,02-766-0545,커트,10000원,파마,25000원,가성비 커트,10000,25000.0
P000009,착한가격업소,,미용,인터미용실,서울특별시 종로구 숭인동길 46 (숭인동),37.5770418729569,127.022187363612,02-922-6363,커트,12000원,파마,35000원,가성비 커트,12000,35000.0
P000010,착한가격업소,,미용,종묘이용원,서울특별시 종로구 종로 146 (종로3가),37.5702281241325,126.993699073444,,커트,7000원,염색,7000원,가성비 커트,7000,7000.0
P000011,착한가격업소,,미용,파고다이용원,서울특별시 종로구 종로17길 12 (종로2가),37.5709410977686,126.988999535085,,커트,6000원,염색,6000원,가성비 커트,6000,6000.0
P000012,착한가격업소,,식당,전주콩나물국밥,서울특별시 종로구 자하문로 3 (내자동),37.5764830744797,126.972264842484,02-738-8223,콩나물국밥,7000원,순두부찌개,7000원,가성비 콩나물국밥,7000,7000.0
P000013,착한가격업소,,식당,먹고갈래지고갈래,서울특별시 종로구 수표로 117 (낙원동),37.5717755006791,126.988906023959,02-3673-1239,삼계탕,13000원,산채비빔밥,7000원,가성비 삼계탕,13000,7000.0
P000014,착한가격업소,,식당,수원성갈비,서울특별시 종로구 창신3길 9 (창신동),37.5732182566597,127.011172071825,02-745-3576,돼지갈비(250g),13000원,돼지갈비(250g)(포장),12000원,가성비 돼지갈비(250g),13000,12000.0
P000015,착한가격업소,,기타,㈜추억을 파는 극장(허리우드클래식),"서울특별시 종로구 삼일대로 428 (낙원동, 4층)",37.5727635233966,126.987902476529,02-3672-4235,영화입장권(경로),2000원,,,가성비 영화입장권(경로),2000,
P000016,착한가격업소,,식당,만족김치삼겹살,서울특별시 종로구 종로53길 7-2,37.572952861839,127.013401276692,02-765-1298,생고기김치찌개(점심),9000원,김치삽겹살(180g),15000원,가성비 생고기김치찌개(점심),9000,15000.0
P000017,착한가격업소,,미용,현미용실,서울특별시 종로구 지봉로17길 12,37.579746404278,127.014548746774,,커트,12000원,파마,40000원,가성비 커트,12000,40000.0
P000018,착한가격업소,,식당,인사동칼국수,서울특별시 종로구 인사동5길 25,37.5720973140597,126.985392406484,02-737-1151,칼국수,7500원,된장찌개,7500원,가성비 칼국수,7500,7500.0
P000019,착한가격업소,,미용,믿음미용실,서울특별시 종로구 계동길 91,37.5814377145875,126.986679281786,,커트,8000원,파마,25000원,가성비 커트,8000,25000.0
P000020,착한가격업소,,식당,눈나무집,서울특별시 종로구 삼청로 136-1,37.5874914824006,126.98189944814,02-739-6742,김치말이국수,6500원,김치볶음밥,6500원,가성비 김치말이국수,6500,6500.0
P000021,착한가격업소,,식당,홍순두부,서울특별시 종로구 명륜길 50 1층,37.5892935619767,126.994629871047,,홍순두부,5500원,순두부,6000원,가성비 홍순두부,5500,6000.0
